1|不足| ふそく| insufficiency - deficiency - shortage - lack - scarcity - deficit| jlpt-n3
2|不便| ふべん| inconvenience - inexpediency - unhandiness| jlpt-n4
3|不味い| まずい| bad (taste) - unpalatable - unsavoury - unsavory - awful - terrible - unpleasant| jlpt-n1
4|不安| ふあん| anxiety - uneasiness - worry - apprehension - fear - insecurity - suspense| jlpt-n3
5|世話| せわ| care - looking after - help - assistance - aid| jlpt-n3
6|世代| せだい| generation - the world - the age| jlpt-n1
7|世界| せかい| the world - society - the universe| jlpt-n4
8|主食| しゅしょく| staple food| jlpt-n1
9|主人| しゅじん| head (of a household) - proprietor (of a store) - proprietress - landlord - landlady| jlpt-n0
10|乗車| じょうしゃ| boarding (a train  bus  etc.) - getting into (e.g. a taxi)| jlpt-n2
11|乗せる| のせる| to place on (something)| jlpt-n3
12|乗る| のる| to get on (train  plane  bus  ship  etc.) - to get in - to board - to take - to embark| jlpt-n5
13|乗り物| のりもの| vehicle - conveyance - transport| jlpt-n4
14|京都外国語大学| きょうとがいこくごだいがく| Kyoto University of Foreign Studies| jlpt-n0
15|京都| きょうと| Kyoto (city  prefecture)| jlpt-n0
16|仕方| しかた| way - method - means - resource - course| jlpt-n4
17|試合| しあい| match - game - bout - contest| jlpt-n4
18|仕事| しごと| work - job - labor - labour - business - task - assignment - occupation - employment| jlpt-n5
19|代金| だいきん| price - cost - charge - payment - bill - fee| jlpt-n3
20|代わり| かわり| substitute - replacement - substituting - replacing| jlpt-n4
21|代理| だいり| representation - agency - proxy| jlpt-n3
22|以て| もって| with - by - by means of| jlpt-n1
23|以後| いご| after this - from now on - hereafter| jlpt-n2
24|以来| いらい| since - henceforth| jlpt-n3
25|以前| いぜん| before - prior to - ago| jlpt-n3
26|以外| いがい| excluding - except (for) - apart from - other than - besides - in addition to| jlpt-n4
27|以下| いか| not exceeding ... - not more than ... - ... and under - ... and below - ... or fewer| jlpt-n4
28|以上| いじょう| not less than ... - ... and over - ... and above - ... and upwards - ... or more| jlpt-n4
29|低い| ひくい| low (rank  degree  value  content  quality  etc.)| jlpt-n5
30|住人| じゅうにん| dweller - inhabitant - resident| jlpt-n0
31|住民| じゅうみん| inhabitant - resident - citizen - population| jlpt-n3
32|住む| すむ| to live (of humans) - to reside - to inhabit - to dwell - to abide| jlpt-n5
33|住所| じゅうしょ| address - residence - domicile| jlpt-n4
34|体力| たいりょく| stamina - endurance - physical strength - resilience - resistance to disease| jlpt-n1
35|作物| さくもつ| crop - crops - (agricultural) produce - farm products| jlpt-n3
36|作る| つくる| to make - to produce - to manufacture - to build - to construct| jlpt-n2
37|作業| さぎょう| work - operation - task| jlpt-n3
38|作品| さくひん| work (e.g. book  film  composition  etc.) - opus - performance - production| jlpt-n3
39|作家| さっか| author - writer - novelist - artist| jlpt-n3
40|作文| さくぶん| writing (an essay  prose  etc.) - composition| jlpt-n5
41|使い方| つかいかた| way of using (something) - way to use - how to use - usage - use| jlpt-n0
42|使用人| しようにん| employee - servant| jlpt-n1
43|使い道| つかいみち| purpose - utility - objective| jlpt-n1
44|使い| つかい| errand - mission - going on an errand| jlpt-n1
45|使用| しよう| use - application - employment - utilization - utilisation| jlpt-n3
46|使う| つかう| to use (a tool  method  etc.) - to make use of - to put to use| jlpt-n5
47|借り物| かりもの| borrowed thing| jlpt-n0
48|借し出す| かりだす| to borrow - to take out| jlpt-n0
